,expt,cond,rep,time (h),position (μm),redPixelRange,greenPixelRange,greenX0,redX0,GFP shift (μm),RFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL)
554,J4K5succ250_ampGrad,3x,2,0,250,159-182,150-173,312.93737183191087,274.7776869147649,0.0,0.0,0.31622776601683794,
555,J4K5succ250_ampGrad,3x,2,0,300,174-197,165-188,312.3048252939599,290.14608035129345,0.0,0.0,0.31622776601683794,
556,J4K5succ250_ampGrad,3x,2,0,350,189-212,180-203,311.4717818689828,300.1616537268924,0.0,0.0,0.31622776601683794,
557,J4K5succ250_ampGrad,3x,2,0,400,204-227,195-218,314.9288935951487,299.067876562898,0.0,0.0,0.31622776601683794,
558,J4K5succ250_ampGrad,3x,2,0,450,219-242,210-234,312.374473058311,289.61708658142345,0.0,0.0,0.31622776601683794,
559,J4K5succ250_ampGrad,3x,2,2,-150,38-61,30-53,318.9803991502201,274.92423465065656,1.9999226394886025,7.22420776104434,0.31622776601683794,
560,J4K5succ250_ampGrad,3x,2,2,-100,53-76,45-68,321.5930197390562,286.8475614882418,2.164219122860743,6.3322449810004855,0.31622776601683794,
561,J4K5succ250_ampGrad,3x,2,2,-50,68-91,60-83,309.583517857028,287.0880100877426,1.5721561549141825,6.517824005412706,0.31622776601683794,
562,J4K5succ250_ampGrad,3x,2,2,0,83-106,75-98,314.35748315078087,292.485507905822,2.088850107131861,5.2542843531133485,0.31622776601683794,
563,J4K5succ250_ampGrad,3x,2,2,50,98-121,90-113,318.8052262146121,287.4999275484521,2.3945237710248652,7.095860881292823,0.31622776601683794,
564,J4K5succ250_ampGrad,3x,2,2,100,113-136,105-128,320.7838902441534,290.9673168729908,3.2720014790774603,6.5698483092895685,0.31622776601683794,
565,J4K5succ250_ampGrad,3x,2,2,150,128-152,120-143,317.2642241338993,297.091629024153,4.144071097975939,3.7053163465849366,0.31622776601683794,
566,J4K5succ250_ampGrad,3x,2,2,200,143-167,135-158,316.72104037513833,291.18534417182616,4.499563404140132,8.973350345041922,0.31622776601683794,
