muMax,D_bm,bmMax,initIllumBmMean,Kprod_bla,Kdif,diff,diff0x
4.80E-05,0.339,6,3,1.13E-09,2.36E-05,12.08815928,11.87685797
4.80E-05,0.0525,6,3,1.13E-09,2.36E-05,4.589867612,5.373254626
4.80E-05,0.182,6,3,1.13E-09,2.36E-05,3.629604178,3.141246889
4.80E-05,0.126,6,3,1.13E-09,2.36E-05,3.172540078,2.798348718
4.80E-05,0.102,6,3,1.13E-09,2.36E-05,3.442711958,3.315531542
4.80E-05,0.0186,6,3,1.13E-09,2.36E-05,5.935952272,7.862658863
4.80E-05,0.38,6,3,1.13E-09,2.36E-05,14.92294941,14.7820745
4.80E-05,0.0269,6,3,1.13E-09,2.36E-05,5.531627962,7.127620516
4.80E-05,0.263,6,3,1.13E-09,2.36E-05,7.218475117,6.798156597
4.80E-05,0.537,6,3,1.13E-09,2.36E-05,26.057004,26.03411067
4.80E-05,0.0447,6,3,1.13E-09,2.36E-05,4.8388439,5.816545734
4.80E-05,0.148,6,3,1.13E-09,2.36E-05,3.142524854,2.617314774
4.80E-05,0.0191,6,3,1.13E-09,2.36E-05,5.909588653,7.814762899
4.80E-05,0.0115,6,3,1.13E-09,2.36E-05,6.338781235,8.596152667
4.80E-05,0.0135,6,3,1.13E-09,2.36E-05,6.218917241,8.378441156
4.80E-05,0.123,6,3,1.13E-09,2.36E-05,3.190605931,2.838071689
4.80E-05,0.112,6,3,1.13E-09,2.36E-05,3.300894056,3.046916168
4.80E-05,0.0155,6,3,1.13E-09,2.36E-05,6.104698384,8.169840123
4.80E-05,0.0457,6,3,1.13E-09,2.36E-05,4.805821677,5.75663297
4.80E-05,0.107,6,3,1.13E-09,2.36E-05,3.368190435,3.175651025
4.80E-05,0.575,6,3,1.13E-09,2.36E-05,28.71846363,28.68492944
4.80E-05,0.0776,6,3,1.13E-09,2.36E-05,3.91887417,4.220902937
4.80E-05,0.0275,6,3,1.13E-09,2.36E-05,5.504968813,7.078028579
