expt,cond,rep,time (h),position (μm),redPixelRange,greenPixelRange,greenX0,redX0,GFP shift (μm),RFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL)
J4K5succ250_kanGrad,30x,2,4,300,172-195,162-185,303.0120895105504,290.46649920023947,-1.4922379940036308,10.912794715246605,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,4,350,187-210,177-200,295.8674495164612,285.3447009116564,-1.4295988165822564,19.48319754386165,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,4,400,202-225,192-215,303.1245073073994,282.3868223562601,0.923736575564476,12.529802281807122,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,4,450,217-241,207-230,311.4655207558486,281.382146222399,-1.558431184298513,11.962548392701308,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,-150,37-60,26-49,312.37234670038987,270.4234513890984,0.6109270207301734,10.046755490359942,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,-100,52-75,41-64,314.2434762953843,297.14756628939176,3.9542721239341745,23.311198956912506,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,-50,67-90,56-79,311.9892858373329,291.87245431754445,1.9599367012320386,16.775419680289872,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,0,82-105,71-94,311.2989449215147,289.5335051564734,-0.026979653239038726,25.70652271845404,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,50,97-120,86-109,312.5448948321219,307.93255976000125,1.1271501947659885,29.177943732168387,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,100,112-135,101-124,307.9537104777181,313.1083482545829,0.927548325155783,27.524577120260574,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,150,127-150,116-139,306.9034412802981,302.6283487038231,1.09821731060822,31.524525195058573,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,200,142-165,131-154,309.9174920857847,302.12650477891964,-0.4025908160951417,26.141697506569415,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,250,157-180,146-170,309.33173791214836,309.71438581330193,-1.5301056529878565,32.2515344574918,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,300,172-195,162-185,303.57592162417274,312.8187416697426,-0.9284058803813195,33.26503718474976,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,350,187-210,177-200,297.5385261586843,311.08545538493996,0.24147782564085674,45.22395201714522,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,400,202-225,192-215,306.91870279012846,315.72226805329444,4.717932058293513,45.86524797884147,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,6,450,217-241,207-230,311.8796058109239,317.0499123183243,-1.1443461292232087,47.630314488626595,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,-150,37-60,26-49,316.9756668529972,268.41085747922847,5.214247173337526,8.034161580490036,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,-100,52-75,41-64,317.50656322343156,322.0177423474937,7.217359051981418,48.18137501501445,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,-50,67-90,56-79,313.49758913180295,309.1254603312014,3.468239995702106,34.028425693946815,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,0,82-105,71-94,314.6355236607544,324.80770956006876,3.3095990860006737,60.980727122049416,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,50,97-120,86-109,315.4126056899473,326.7153447837454,3.994861052591432,47.960728755912555,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,100,112-135,101-124,310.4028490711627,327.846628913823,3.376686918600342,42.26285777950068,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,150,127-150,116-139,308.3282352098249,326.65881590328274,2.5230112401350198,55.554992394518194,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,200,142-165,131-154,311.036837691293,328.9160234237659,0.7167547894131303,52.9312161514157,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,250,157-180,146-170,310.9096387331565,330.5502023290979,0.04779516802028638,53.087350973287755,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,300,172-195,162-185,305.34810091572336,388.6728441702466,0.8437734111693089,109.11913968525374,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,350,187-210,177-200,298.94648868767786,349.6843479354796,1.6494403546344074,83.82284456768485,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,400,202-225,192-215,308.9370904335167,365.17957357715704,6.736319701681737,95.32255350270407,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,8,450,217-241,207-230,313.73169104027306,397.95519961770515,0.7077391001259343,128.53560178800745,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,-150,37-60,26-49,320.0788815554182,227.3413004764874,8.31746187575851,-33.03539542225104,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,-100,52-75,41-64,320.71492666015934,355.55463281164083,10.425722488709198,81.71826547916157,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,-50,67-90,56-79,316.21600504858816,334.4985045180679,6.186655912487311,59.401469880813295,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,0,82-105,71-94,319.0288401795516,331.9421907733374,7.702915604797852,68.11520833531807,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,50,97-120,86-109,318.60292623893224,332.0426096076194,7.185181601576346,53.28799357978653,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,100,112-135,101-124,314.7071205596445,390.923943388447,7.680958407082187,105.3401722541247,,1.5811388300841898
