expt,cond,rep,time (h),pixelRange,X0,shift (μm),redPixelRange,greenPixelRange,redX0,greenX0,RFP shift (μm),GFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL),position (μm)
250standalone_ampGrad,10x,3,4,116-140,411.38374452580933,71.91943424550442,,116-140,,411.38374452580933,,71.91943424550442,1.0,,
250standalone_ampGrad,10x,3,6,116-140,509.2435866953623,169.77927641505738,,116-140,,509.2435866953623,,169.77927641505738,1.0,,
250standalone_ampGrad,10x,3,8,116-140,610.3629029770901,270.8985926967852,,116-140,,610.3629029770901,,270.8985926967852,1.0,,
250standalone_ampGrad,10x,3,10,116-140,796.5915139732749,457.12720369297,,116-140,,796.5915139732749,,457.12720369297,1.0,,
250standalone_ampGrad,30x,1,0,116-140,304.1555553386802,0.0,,116-140,,304.1555553386802,,0.0,3.1622776601683795,,
250standalone_ampGrad,30x,1,2,116-140,323.26488890959274,19.109333570912554,,116-140,,323.26488890959274,,19.109333570912554,3.1622776601683795,,
250standalone_ampGrad,30x,1,4,116-140,359.06269083426287,54.90713549558268,,116-140,,359.06269083426287,,54.90713549558268,3.1622776601683795,,
250standalone_ampGrad,30x,1,6,116-140,432.4053041855388,128.2497488468586,,116-140,,432.4053041855388,,128.2497488468586,3.1622776601683795,,
250standalone_ampGrad,30x,1,8,116-140,528.9964192200918,224.84086388141156,,116-140,,528.9964192200918,,224.84086388141156,3.1622776601683795,,
250standalone_ampGrad,30x,1,10,116-140,584.6956947849039,280.54013944622375,,116-140,,584.6956947849039,,280.54013944622375,3.1622776601683795,,
250standalone_ampGrad,30x,2,0,116-140,324.06107369269137,0.0,,116-140,,324.06107369269137,,0.0,3.1622776601683795,,
250standalone_ampGrad,30x,2,2,116-140,343.78756953610207,19.726495843410703,,116-140,,343.78756953610207,,19.726495843410703,3.1622776601683795,,
250standalone_ampGrad,30x,2,4,116-140,383.80217473701885,59.74110104432748,,116-140,,383.80217473701885,,59.74110104432748,3.1622776601683795,,
250standalone_ampGrad,30x,2,6,116-140,465.1381413306217,141.07706763793033,,116-140,,465.1381413306217,,141.07706763793033,3.1622776601683795,,
250standalone_ampGrad,30x,2,8,116-140,554.912737902091,230.8516642093996,,116-140,,554.912737902091,,230.8516642093996,3.1622776601683795,,
250standalone_ampGrad,30x,2,10,116-140,611.2936794863455,287.2326057936541,,116-140,,611.2936794863455,,287.2326057936541,3.1622776601683795,,
250standalone_ampGrad,30x,3,0,116-140,300.8970793289071,0.0,,116-140,,300.8970793289071,,0.0,3.1622776601683795,,
250standalone_ampGrad,30x,3,2,116-140,318.90452016740187,18.007440838494745,,116-140,,318.90452016740187,,18.007440838494745,3.1622776601683795,,
250standalone_ampGrad,30x,3,4,116-140,355.88862314440314,54.991543815496016,,116-140,,355.88862314440314,,54.991543815496016,3.1622776601683795,,
250standalone_ampGrad,30x,3,6,116-140,431.4402800830621,130.54320075415495,,116-140,,431.4402800830621,,130.54320075415495,3.1622776601683795,,
250standalone_ampGrad,30x,3,8,116-140,530.3278472759836,229.43076794707645,,116-140,,530.3278472759836,,229.43076794707645,3.1622776601683795,,
250standalone_ampGrad,30x,3,10,116-140,588.2370145026716,287.3399351737645,,116-140,,588.2370145026716,,287.3399351737645,3.1622776601683795,,
250standalone_ampGrad,100x,1,0,116-140,313.49014734676496,0.0,,116-140,,313.49014734676496,,0.0,10.0,,
250standalone_ampGrad,100x,1,2,116-140,312.34021868979505,-1.1499286569699052,,116-140,,312.34021868979505,,-1.1499286569699052,10.0,,
250standalone_ampGrad,100x,1,4,116-140,313.6518675237594,0.16172017699443586,,116-140,,313.6518675237594,,0.16172017699443586,10.0,,
250standalone_ampGrad,100x,1,6,116-140,321.00246204787675,7.512314701111791,,116-140,,321.00246204787675,,7.512314701111791,10.0,,
250standalone_ampGrad,100x,1,8,116-140,338.4653953954391,24.975248048674132,,116-140,,338.4653953954391,,24.975248048674132,10.0,,
250standalone_ampGrad,100x,1,10,116-140,357.3723686000051,43.88222125324012,,116-140,,357.3723686000051,,43.88222125324012,10.0,,
250standalone_ampGrad,100x,2,0,116-140,303.0556215671299,0.0,,116-140,,303.0556215671299,,0.0,10.0,,
250standalone_ampGrad,100x,2,2,116-140,303.9192043073999,0.8635827402700329,,116-140,,303.9192043073999,,0.8635827402700329,10.0,,
